timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff,energy
60.0,0.066941,-0.026933,-0.125827,-0.036321,bottom,0,0.020000000000003126,0.08200442164221787
60.02,0.103589,-0.035211,-0.146326,-0.036099,bottom,0,0.020000000000003126,0.08069951429818668
60.039,0.082619,0.047056,-0.099826,-0.019468,bottom,0,0.01899999999999835,0.07936260461300146
60.059,0.083883,0.11593,-0.073122,0.007612,bottom,0,0.01999999999999602,0.07825720305191718
60.079,0.119159,0.173353,-0.04706,0.04076,bottom,0,0.020000000000003126,0.07745171134405184
60.1,0.232776,0.384704,-0.020172,0.109549,bottom,0,0.021000000000000796,0.0774912593470015
60.119,0.432813,0.422321,0.096748,0.172103,bottom,0,0.01899999999999835,0.07897502308291766
60.139,0.472385,0.065477,0.159495,0.150778,bottom,0,0.020000000000003126,0.08015024941483972
60.159,0.35759,-0.025696,0.400355,0.115483,bottom,0,0.01999999999999602,0.08084862674142429
60.179,0.352917,-0.062724,0.182134,0.079842,bottom,0,0.020000000000003126,0.08121058777039629
60.199,0.326317,-0.01374,0.094225,0.061125,bottom,0,0.01999999999999602,0.08149908743632621
60.219,0.396514,-0.118411,0.046839,0.025218,bottom,0,0.020000000000003126,0.08140687402576066
60.239,0.400959,-0.041069,-0.017396,0.011961,bottom,0,0.01999999999999602,0.0810286570032673
60.258,0.482599,-0.116693,0.068313,-0.01377,bottom,0,0.019000000000005457,0.080742177673394
60.278,0.519703,0.012929,0.082493,-0.00843,bottom,0,0.01999999999999602,0.08078555839442216
60.298,0.540304,0.075222,0.023773,0.0083,bottom,0,0.020000000000003126,0.08095957177460102
60.318,0.566018,-0.137998,-0.046471,-0.02096,bottom,0,0.01999999999999602,0.08098421750154333
60.338,0.471346,0.169536,-0.069079,0.01714,bottom,0,0.020000000000003126,0.08112285511875983
60.358,0.442347,0.611367,-0.078189,0.135985,bottom,0,0.01999999999999602,0.08307140429817418
60.377,0.352424,0.500932,-0.213,0.208974,bottom,0,0.019000000000005457,0.08679719590900543
60.398,0.302656,0.333907,-0.130244,0.233961,bottom,0,0.021000000000000796,0.09101836866013713
60.417,0.322574,0.068055,-0.140714,0.20078,bottom,0,0.01899999999999835,0.09405963127497873
60.437,0.275118,-0.010553,-0.15013,0.158513,bottom,0,0.01999999999999602,0.09602859458611139
60.457,0.207409,0.048396,-0.178734,0.13649,bottom,0,0.020000000000003126,0.09748794344389881
60.477,0.154783,0.074402,-0.162078,0.124072,bottom,0,0.01999999999999602,0.09821721987836324
60.497,0.114315,0.133098,-0.111027,0.125877,bottom,0,0.020000000000003126,0.09936688992125767
60.516,0.043161,0.257403,-0.029808,0.152182,bottom,0,0.01899999999999835,0.10088014209555665
60.536,-0.058409,0.270258,-0.036205,0.175798,bottom,0,0.020000000000003126,0.10270744450068955
60.556,-0.146798,0.23211,-0.003404,0.18706,bottom,0,0.01999999999999602,0.10478027043761097
60.576,-0.235225,0.172451,-0.012051,0.184138,bottom,0,0.020000000000003126,0.10677183752368148
60.597,-0.310637,0.136283,0.007742,0.174567,bottom,0,0.021000000000000796,0.1085450582250891
60.616,-0.379421,0.092491,-0.019845,0.158152,bottom,0,0.01899999999999835,0.10996182575385705
60.636,-0.425177,0.047958,-0.032457,0.136113,bottom,0,0.020000000000003126,0.11063743236977878
60.656,-0.452026,0.050209,-0.037416,0.118932,bottom,0,0.01999999999999602,0.1107288347964896
60.676,-0.447226,0.051518,-0.021125,0.10545,bottom,0,0.020000000000003126,0.11074141468753032
60.696,-0.414628,0.04315,-0.013712,0.09299,bottom,0,0.01999999999999602,0.11068286806313073
60.715,-0.380966,0.038236,0.000611,0.082039,bottom,0,0.019000000000005457,0.11045135339175663
60.735,-0.36124,0.038054,0.027704,0.073242,bottom,0,0.01999999999999602,0.11001144711259817
60.755,-0.341204,0.036899,0.045712,0.065973,bottom,0,0.020000000000003126,0.10923027527717245
60.775,-0.311439,0.055831,0.048965,0.063945,bottom,0,0.01999999999999602,0.10861546803877394
60.796,-0.278714,0.081537,0.03647,0.067463,bottom,0,0.021000000000000796,0.10790206998645167
60.815,-0.234435,0.108742,0.014613,0.075719,bottom,0,0.01899999999999835,0.10700422608876227
60.835,-0.201277,0.130979,0.001773,0.086771,bottom,0,0.020000000000003126,0.10592553738976025
60.854,-0.190831,0.143763,0.011382,0.098169,bottom,0,0.01899999999999835,0.10461731852568652
60.874,-0.188465,0.149173,0.025283,0.10837,bottom,0,0.020000000000003126,0.10332385031559949
60.894,-0.164627,0.160703,0.035622,0.118837,bottom,0,0.01999999999999602,0.1021709620098123
60.914,-0.117628,0.176687,0.042996,0.130407,bottom,0,0.020000000000003126,0.10103798005919519
60.934,-0.080251,0.18263,0.052924,0.140851,bottom,0,0.01999999999999602,0.09951039020794653
60.954,-0.075945,0.178009,0.063022,0.148283,bottom,0,0.020000000000003126,0.09752823054362675
60.974,-0.060339,0.170457,0.059577,0.152718,bottom,0,0.01999999999999602,0.09527228887712505
60.993,-0.030204,0.17104,0.048848,0.156382,bottom,0,0.019000000000005457,0.09294218547668125
61.014,-0.017691,0.171584,0.038013,0.159423,bottom,0,0.021000000000000796,0.09102149084010853
61.033,-0.04269,0.159866,0.029363,0.159511,bottom,0,0.01899999999999835,0.08912634662967302
61.053,-0.061062,0.151095,0.026788,0.157828,bottom,0,0.01999999999999602,0.08754538412120709
