timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff
0.007,0.001542,-0.047213,0.011633,-0.009443,idle,0,-46.002
0.029,-0.022585,-0.010836,0.025461,-0.009721,idle,0,0.022000000000000002
0.047,-0.042872,0.002236,0.037638,-0.00733,idle,0,0.018
0.067,-0.020053,-0.002264,-0.014994,-0.006316,idle,0,0.020000000000000004
0.091,0.002324,-0.015271,-0.04292,-0.008107,idle,0,0.023999999999999994
0.107,-0.002044,0.004614,-0.047366,-0.005563,idle,0,0.016
0.127,-0.013996,0.027619,-0.017863,0.001073,idle,0,0.020000000000000004
0.146,-0.015101,0.019143,-0.012278,0.004687,idle,0,0.01899999999999999
0.166,0.001703,-0.008097,-0.017357,0.00213,idle,0,0.020000000000000018
0.186,0.006135,0.008999,-0.012383,0.003504,idle,0,0.01999999999999999
0.206,-0.003482,0.036497,0.001698,0.010103,idle,0,0.01999999999999999
0.226,0.002528,0.024978,-0.014661,0.013078,idle,0,0.020000000000000018
0.246,0.01562,-0.003363,-0.026688,0.00979,idle,0,0.01999999999999999
0.266,0.010084,0.009297,-0.022856,0.009691,idle,0,0.020000000000000018
0.286,0.001748,0.037245,-0.004861,0.015202,idle,0,0.019999999999999962
0.305,-0.004716,0.030908,-0.015773,0.018343,idle,0,0.019000000000000017
0.325,0.017654,-0.006848,-0.027791,0.013305,idle,0,0.020000000000000018
0.345,0.039565,-0.016414,-0.052661,0.007361,idle,0,0.019999999999999962
0.365,0.061616,0.004068,-0.069613,0.006703,idle,0,0.020000000000000018
0.385,0.005865,0.065057,-0.055147,0.018373,idle,0,0.020000000000000018
0.407,0.048373,0.049759,-0.076264,0.02465,idle,0,0.021999999999999964
0.428,0.041383,-0.048063,-0.11176,0.010108,idle,0,0.02100000000000002
0.446,0.041568,-0.018722,-0.117906,0.004342,idle,0,0.018000000000000016
0.464,0.00312,0.017183,-0.096441,0.00691,idle,0,0.018000000000000016
0.484,-0.014188,0.134652,-0.086176,0.032458,idle,0,0.019999999999999962
0.504,0.01097,0.051936,-0.092883,0.036354,idle,0,0.020000000000000018
0.524,-0.009068,0.013974,-0.067556,0.031878,idle,0,0.020000000000000018
0.544,0.024843,0.001176,-0.091058,0.025738,idle,0,0.020000000000000018
0.564,-0.02102,0.091019,-0.088108,0.038794,idle,0,0.019999999999999907
0.585,-0.015618,0.193622,-0.051391,0.06976,idle,0,0.02100000000000002
0.604,-0.026929,0.227228,-0.012618,0.101253,idle,0,0.019000000000000017
0.623,-0.02156,0.066253,-0.067741,0.094253,idle,0,0.019000000000000017
0.643,0.008778,0.060637,-0.05614,0.08753,idle,0,0.020000000000000018
0.663,0.015663,0.052592,-0.047427,0.080542,idle,0,0.020000000000000018
0.683,0.016155,0.078425,-0.022486,0.080119,idle,0,0.020000000000000018
0.703,0.025714,-0.012828,0.028767,0.061529,idle,0,0.019999999999999907
0.723,0.029443,-0.001286,0.025021,0.048966,idle,0,0.020000000000000018
0.742,0.037395,0.034582,-0.002621,0.04609,idle,0,0.019000000000000017
0.762,0.019252,0.062077,0.029316,0.049287,idle,0,0.020000000000000018
0.782,0.01661,0.069052,0.040167,0.05324,idle,0,0.020000000000000018
0.802,0.024295,0.015984,0.06302,0.045789,idle,0,0.020000000000000018
0.822,0.031171,-0.022887,0.067029,0.032054,idle,0,0.019999999999999907
0.842,0.034002,0.005797,0.03611,0.026802,idle,0,0.020000000000000018
0.862,0.01993,0.069763,0.027241,0.035394,idle,0,0.020000000000000018
0.882,0.014799,0.037884,0.055923,0.035892,idle,0,0.020000000000000018
0.902,0.012697,-0.020297,0.06736,0.024654,idle,0,0.020000000000000018
0.922,0.007593,-0.05891,0.061304,0.007942,idle,0,0.020000000000000018
0.941,0.018208,-0.012466,0.013467,0.00386,idle,0,0.018999999999999906
0.961,0.03345,0.02798,-0.035226,0.008684,idle,0,0.020000000000000018
0.981,0.076629,-0.011328,-0.050389,0.004682,idle,0,0.020000000000000018
1.001,0.109872,-0.05875,-0.044514,-0.008005,idle,0,0.019999999999999907
1.021,0.13762,-0.052434,-0.034413,-0.016891,idle,0,0.020000000000000018
1.041,0.15078,-0.048225,-0.0223,-0.023157,idle,0,0.020000000000000018
1.06,0.168402,-0.066007,6.5e-05,-0.031727,idle,0,0.019000000000000128
1.08,0.181586,-0.078515,0.018626,-0.041085,idle,0,0.020000000000000018
1.1,0.169152,-0.069212,0.025563,-0.04671,idle,0,0.020000000000000018
1.12,0.162597,-0.037527,0.046884,-0.044874,idle,0,0.020000000000000018
1.14,0.153432,0.009906,0.064511,-0.033918,idle,0,0.019999999999999796
1.16,0.124017,0.036119,0.055755,-0.01991,idle,0,0.020000000000000018
1.18,0.135874,-0.027249,0.036708,-0.021378,idle,0,0.020000000000000018
1.2,0.114423,0.012503,0.066698,-0.014602,idle,0,0.020000000000000018
1.22,0.092599,-0.002437,0.077596,-0.012169,idle,0,0.020000000000000018
1.239,0.063471,0.07609,0.0928,0.005483,idle,0,0.019000000000000128
1.259,0.057651,0.142852,0.04662,0.032957,idle,0,0.019999999999999796
1.28,0.024125,0.069618,0.076617,0.040289,idle,0,0.02100000000000013
1.299,0.013986,0.000677,0.123287,0.032367,idle,0,0.018999999999999906
1.319,0.01533,-0.002085,0.157623,0.025476,idle,0,0.020000000000000018
1.339,0.023118,0.003476,0.096093,0.021076,idle,0,0.020000000000000018
1.359,0.02014,0.083586,0.037737,0.033578,idle,0,0.020000000000000018
1.379,-0.016396,0.063754,0.048143,0.039613,idle,0,0.020000000000000018
1.398,-0.028865,0.038586,0.114051,0.039408,idle,0,0.018999999999999906
1.418,-0.021137,0.017835,0.109912,0.035093,idle,0,0.020000000000000018
1.438,-0.013638,0.017051,0.067283,0.031485,idle,0,0.020000000000000018
1.458,-0.016289,0.084968,0.01764,0.042181,idle,0,0.020000000000000018
1.479,-0.013549,0.125452,0.016374,0.058836,idle,0,0.02100000000000013
1.498,0.015889,0.118348,0.064624,0.070738,idle,0,0.018999999999999906
1.518,0.060756,0.040087,0.075241,0.064608,idle,0,0.020000000000000018
1.538,0.083703,0.032853,0.026745,0.058257,idle,0,0.020000000000000018
1.557,0.091756,0.1358,-0.033302,0.073766,idle,0,0.018999999999999906
1.578,0.077346,0.197641,-0.023239,0.098541,idle,0,0.02100000000000013
1.597,0.071587,0.158993,0.027988,0.110631,idle,0,0.018999999999999906
1.617,0.087047,0.08941,0.037043,0.106387,idle,0,0.020000000000000018
1.637,0.075231,0.056044,0.020891,0.096318,idle,0,0.020000000000000018
1.657,0.0673,0.076268,-0.016667,0.092308,idle,0,0.020000000000000018
1.677,0.062038,0.119945,-0.015259,0.097836,idle,0,0.020000000000000018
1.696,0.120945,0.08392,0.020208,0.095052,idle,0,0.018999999999999906
1.716,0.153709,-0.02,0.005451,0.072042,idle,0,0.020000000000000018
1.736,0.147492,-0.029195,-0.045305,0.051795,idle,0,0.020000000000000018
1.756,0.126928,0.033571,-0.058604,0.04815,idle,0,0.020000000000000018
1.776,0.110835,0.031556,-0.050775,0.044831,idle,0,0.020000000000000018
1.796,0.147617,-0.018208,-0.083971,0.032223,idle,0,0.020000000000000018
1.816,0.183982,-0.067432,-0.135333,0.012292,idle,0,0.020000000000000018
1.836,0.201903,-0.039093,-0.205693,0.002015,idle,0,0.020000000000000018
1.856,0.23862,0.022423,-0.146456,0.006097,idle,0,0.020000000000000018
1.876,0.245822,-0.008964,-0.036078,0.003085,idle,0,0.019999999999999796
1.895,0.275697,-0.098683,-0.008564,-0.017269,idle,0,0.019000000000000128
