timestamp,accX,accY,accZ,filteredAccY,phase,repCount
16.283,0.072171,-0.058121,0.055966,-0.086042,bottom,0
16.303,0.122294,-0.047368,0.032488,-0.078307,bottom,0
16.323,0.164291,-0.121667,-0.039774,-0.086979,bottom,0
16.343,0.156343,-0.082315,-0.083407,-0.086046,bottom,0
16.363,0.101624,0.043782,-0.072471,-0.060081,bottom,0
16.382,0.112107,0.162733,-0.136735,-0.015518,bottom,0
16.402,0.131830,0.134378,-0.121532,0.014461,bottom,0
16.422,0.108008,0.028275,0.060331,0.017224,bottom,0
16.442,0.133939,-0.114900,0.116007,-0.009201,bottom,0
16.462,0.175525,-0.111659,0.027793,-0.029692,bottom,0
16.482,0.178355,0.023756,-0.062476,-0.019003,bottom,0
16.502,0.138883,0.200929,0.011574,0.024984,bottom,0
16.522,0.089533,0.115443,0.139301,0.043075,bottom,0
16.541,0.053805,-0.042752,0.266697,0.025910,bottom,0
16.561,0.048743,-0.100372,0.250305,0.000654,bottom,0
16.581,0.035950,-0.012332,0.183560,-0.001943,bottom,0
16.601,0.015944,0.020100,0.142017,0.002465,bottom,0
16.621,-0.001993,0.015440,0.113786,0.005060,bottom,0
16.641,-0.006952,0.011137,0.119465,0.006275,bottom,0
16.661,0.015498,-0.030142,0.154907,-0.001008,bottom,0
16.681,0.038267,-0.091624,0.172615,-0.019131,bottom,0
16.701,0.022929,-0.111588,0.164390,-0.037623,bottom,0
16.720,0.019928,0.006331,-0.015844,-0.028832,bottom,0
16.740,-0.033545,0.033861,-0.140076,-0.016293,bottom,0
16.760,0.026307,-0.159120,-0.208433,-0.044859,bottom,0
16.780,0.048281,-0.130368,-0.318733,-0.061961,bottom,0
16.800,-0.055991,0.101165,-0.299789,-0.029335,bottom,0
16.820,-0.134427,0.120159,-0.107577,0.000564,bottom,0
16.839,-0.123128,0.074140,0.021475,0.015279,bottom,0
16.859,-0.110785,0.038239,0.072253,0.019871,bottom,0
16.879,-0.086894,0.003363,0.086294,0.016569,bottom,0
16.899,-0.042238,-0.000055,0.039675,0.013244,bottom,0
16.919,-0.005325,0.000923,-0.024924,0.010780,bottom,0
16.939,0.021555,0.006307,-0.045597,0.009886,bottom,0
16.959,0.040502,-0.018119,-0.010209,0.004285,bottom,0
16.979,0.044338,-0.043625,0.029184,-0.005297,bottom,0
16.999,0.033026,-0.050017,0.051616,-0.014241,bottom,0
17.019,0.041034,-0.024849,0.045177,-0.016363,bottom,0
17.038,0.078841,0.007950,0.001943,-0.011500,bottom,0
17.058,0.107299,-0.005046,-0.011027,-0.010209,bottom,0
17.078,0.082295,-0.047933,0.013860,-0.017754,bottom,0
17.098,0.066689,-0.089177,0.035454,-0.032039,bottom,0
17.118,0.062784,-0.061134,0.045732,-0.037858,bottom,0
17.138,0.080094,-0.058367,0.031995,-0.041959,bottom,0
17.157,0.082183,-0.040638,0.006797,-0.041695,bottom,0
17.177,0.065823,-0.019250,0.019709,-0.037206,bottom,0
17.197,0.043312,-0.035528,0.046364,-0.036871,bottom,0
17.217,0.027241,-0.032378,0.039075,-0.035972,bottom,0
17.237,0.018918,0.031232,-0.017080,-0.022531,bottom,0
17.257,-0.001309,0.021800,-0.014071,-0.013665,bottom,0
17.277,-0.025076,-0.028672,0.015476,-0.016666,bottom,0
17.297,-0.016894,-0.035160,0.023815,-0.020365,bottom,0
17.316,0.014019,-0.005833,-0.003576,-0.017459,bottom,0
17.336,0.043537,0.002834,0.001137,-0.013400,bottom,0
17.356,0.052432,-0.035751,0.022459,-0.017870,bottom,0
17.376,0.043913,-0.009473,0.066925,-0.016191,bottom,0
17.398,0.042321,-0.017180,0.081690,-0.016389,bottom,0
17.416,0.043068,-0.043105,0.048915,-0.021732,bottom,0
17.435,0.057677,0.048652,0.016650,-0.007655,bottom,0
17.456,0.018725,0.017979,0.058240,-0.002528,bottom,0
17.475,-0.032859,-0.017031,0.092869,-0.005429,bottom,0
17.497,-0.028975,0.048371,0.044698,0.005331,bottom,0
17.515,-0.008426,0.041009,0.021166,0.012467,bottom,0
17.535,-0.025454,0.031234,0.055450,0.016220,bottom,0
17.555,-0.050039,0.060869,0.070307,0.025150,bottom,0
17.575,-0.046690,0.087884,0.023449,0.037697,bottom,0
17.594,-0.019533,0.096858,-0.032024,0.049529,bottom,0
17.614,0.013466,0.073434,-0.039412,0.054310,bottom,0
17.634,0.005454,0.075701,0.001058,0.058588,bottom,0
17.654,0.002567,0.084508,-0.013070,0.063772,bottom,0
17.674,0.068673,0.061953,-0.046563,0.063408,bottom,0
17.694,0.098311,-0.013851,-0.029219,0.047956,bottom,0
17.714,0.084869,-0.066548,-0.015896,0.025056,bottom,0
17.734,0.079447,-0.059112,-0.012169,0.008222,bottom,0
17.754,0.069063,-0.027424,-0.025119,0.001093,bottom,0
17.774,0.078569,-0.026149,-0.021686,-0.004356,bottom,0
17.793,0.078362,-0.064951,0.014991,-0.016475,bottom,0
17.813,0.074470,-0.046859,-0.011024,-0.022552,bottom,0
17.833,0.092481,0.051419,-0.130310,-0.007758,bottom,0
17.853,0.115030,0.115278,-0.299294,0.016849,bottom,0
17.873,0.113635,0.063224,-0.343873,0.026124,bottom,0
17.893,0.146868,-0.048082,-0.262755,0.011283,bottom,0
17.913,0.138623,-0.078281,-0.073215,-0.006630,bottom,0
17.932,0.251470,-0.012021,0.157832,-0.007708,bottom,0
17.952,0.216708,0.216652,0.119843,0.037164,bottom,0
17.972,0.304897,0.169074,0.080515,0.063546,bottom,0
17.992,0.321721,0.069106,0.119635,0.064658,bottom,0
18.012,0.293347,0.033459,0.139844,0.058418,bottom,0
18.032,0.166819,0.061417,0.190455,0.059018,bottom,0
18.052,0.060574,-0.028188,0.197583,0.041577,bottom,0
18.071,-0.023267,-0.109368,0.174949,0.011388,bottom,0
18.092,-0.100771,-0.075122,0.203737,-0.005914,bottom,0
18.111,-0.191803,0.061212,0.256515,0.007511,bottom,0
18.131,-0.234036,0.100427,0.250684,0.026094,bottom,0
18.151,-0.175833,-0.018945,0.199024,0.017086,bottom,0
18.171,-0.096627,0.033756,0.181663,0.020420,bottom,0
18.191,-0.080690,0.235957,0.124412,0.063528,bottom,0
18.211,-0.015543,0.204768,0.031725,0.091776,bottom,0
18.231,0.058670,0.010862,0.003945,0.075593,bottom,0
18.250,-0.004211,0.006725,-0.001647,0.061819,bottom,0
18.270,-0.102123,0.135277,-0.042318,0.076511,bottom,0
18.290,-0.117849,0.117591,-0.091139,0.084727,bottom,0
18.310,-0.031925,0.074388,-0.138397,0.082659,bottom,0
18.330,0.009405,0.114024,-0.131309,0.088932,bottom,0
18.350,-0.024564,0.172160,-0.071447,0.105578,bottom,0
18.370,-0.022623,0.142115,-0.072475,0.112885,bottom,0
18.391,0.015879,0.093283,-0.090715,0.108965,bottom,0
18.411,0.021086,0.081802,-0.057497,0.103532,bottom,0
18.429,-0.025700,0.107494,-0.076166,0.104325,bottom,0
18.449,-0.036765,0.136676,-0.085537,0.110795,bottom,0
18.469,-0.012283,0.085083,-0.073009,0.105653,bottom,0
18.489,0.025476,0.030868,-0.026384,0.090696,bottom,0
18.509,0.023855,0.037206,-0.003495,0.079998,bottom,0
18.529,-0.014154,0.031481,-0.002270,0.070294,bottom,0
18.548,-0.012574,0.032824,-0.035304,0.062800,bottom,0
18.569,0.024206,-0.011572,-0.038768,0.047926,bottom,0
18.589,0.007266,-0.060030,0.005959,0.026335,bottom,0
18.608,-0.026585,-0.048445,0.057150,0.011379,bottom,0
18.628,0.008317,-0.033091,0.024616,0.002485,bottom,0
18.648,0.047203,-0.052041,-0.002830,-0.008420,bottom,0
18.668,0.051330,-0.099984,-0.010964,-0.026733,bottom,0
18.690,0.052992,-0.077492,0.018515,-0.036885,bottom,0
18.708,-0.022150,-0.014951,0.047756,-0.032498,bottom,0
18.727,-0.059776,-0.044298,0.033523,-0.034858,bottom,0
18.747,-0.006571,-0.092074,-0.000254,-0.046301,bottom,0
18.767,0.056006,-0.064948,-0.004585,-0.050031,bottom,0
18.789,0.089345,-0.020986,0.001062,-0.044222,bottom,0
18.807,0.089062,-0.019760,0.028247,-0.039330,bottom,0
18.827,0.018869,-0.032327,0.044489,-0.037929,bottom,0
18.847,-0.017611,0.013340,-0.012404,-0.027675,bottom,0
18.866,0.007070,0.031930,-0.091681,-0.015754,bottom,0
18.890,0.040989,0.056465,-0.137616,-0.001310,bottom,0
18.907,0.050688,0.088384,-0.115255,0.016629,bottom,0
18.930,0.044416,0.111047,-0.049273,0.035512,bottom,0
18.946,0.052812,0.128974,-0.017458,0.054204,bottom,0
18.966,0.090354,0.137677,-0.067833,0.070899,bottom,0
18.985,0.109926,0.171805,-0.107499,0.091080,bottom,0
19.005,0.083178,0.214034,-0.065045,0.115671,bottom,0
19.025,0.076305,0.213777,0.020107,0.135292,bottom,0
19.045,0.111713,0.212078,0.017412,0.150649,bottom,0
19.065,0.162241,0.223686,-0.039744,0.165257,bottom,0
19.085,0.160333,0.224927,-0.062917,0.177191,bottom,0
19.105,0.142702,0.195166,-0.053436,0.180786,bottom,0
19.125,0.089441,0.129477,-0.022113,0.170524,bottom,0
19.145,0.018824,0.054926,0.024682,0.147405,bottom,0
19.165,-0.010795,0.024983,0.045132,0.122920,bottom,0
19.184,0.011805,0.009076,0.026798,0.100151,bottom,0
19.204,0.032642,0.031609,-0.034325,0.086443,bottom,0
19.224,0.035885,0.036995,-0.058295,0.076553,bottom,0
19.244,0.053314,0.015848,-0.055374,0.064412,bottom,0
19.264,0.098012,-0.030542,-0.079452,0.045421,bottom,0
